dist_name,state_name,ST_CEN_CD,DT_CEN_CD,censuscode,Y1998,Y1999,Y2000,Y2001,Y2002,Y2003,Y2004,Y2005,Y2006,Y2007,Y2008,Y2009,Y2010,Y2011,Y2012,Y2013,Y2014,Y2015,Y2016,Y2017,Y2018,Y2019,Y2020,state_name_full
sitapur,UP,9,23,154,68.03947368421049,67.89605263157894,77.58289473684214,82.16973684210527,82.77631578947371,87.51447368421053,89.85394736842103,84.48815789473684,84.65789473684212,90.4578947368421,99.84473684210529,100.02368421052631,99.58421052631576,109.03684210526318,98.55526315789476,102.49605263157895,92.48026315789471,95.76710526315787,101.4342105263158,100.66973684210525,97.47894736842103,95.49078947368423,93.16578947368423,Uttar Pradesh
sonbhadra,UP,9,69,200,30.175862068965515,31.45632183908046,32.90574712643678,37.479310344827596,37.9896551724138,41.4551724137931,42.99885057471264,38.800000000000004,38.857471264367824,43.30229885057472,50.43448275862069,44.55747126436782,44.22643678160921,51.42298850574712,46.00459770114941,49.482758620689644,45.82528735632184,44.25632183908046,49.09770114942529,45.60114942528737,45.03563218390806,51.00459770114942,48.00114942528737,Uttar Pradesh
sultanpur,UP,9,48,179,76.75409836065572,70.42622950819674,80.72295081967209,84.14754098360656,88.40491803278691,98.04262295081966,98.66065573770494,91.98688524590166,86.11311475409832,91.05081967213115,108.98688524590165,102.79344262295079,101.22950819672128,110.19836065573769,98.64262295081966,101.59180327868852,91.58032786885245,93.92950819672127,116.92786885245896,105.42459016393445,100.07868852459015,109.02131147540985,103.34590163934426,Uttar Pradesh
unnao,UP,9,25,156,83.30952380952381,81.84285714285713,88.20952380952382,92.50476190476189,95.84126984126989,102.32063492063492,104.56825396825394,96.40476190476188,90.02539682539681,97.85555555555558,113.31746031746034,105.83809523809524,103.98730158730162,110.57936507936508,102.76507936507933,109.00952380952383,100.61269841269846,99.53174603174598,113.3873015873016,110.39047619047619,107.82380952380952,112.12222222222222,105.2063492063492,Uttar Pradesh
varanasi,UP,9,66,197,72.72916666666667,68.35000000000001,73.30000000000001,77.8625,81.61666666666666,88.5,89.78333333333332,83.7125,77.92083333333333,85.75833333333334,102.56666666666666,92.45833333333336,88.85833333333335,101.42916666666666,92.67499999999997,94.25833333333334,88.41666666666667,83.0375,105.29583333333335,94.75833333333334,92.30833333333332,105.69166666666668,101.15833333333332,Uttar Pradesh
araria,BR,10,7,209,48.5609756097561,44.61463414634147,49.06829268292682,54.053658536585374,50.026829268292694,53.50975609756097,51.6731707317073,57.148780487804885,68.06341463414634,64.03902439024392,63.61707317073172,73.44390243902438,60.62926829268291,66.88536585365853,73.41219512195123,68.44878048780488,66.72439024390242,67.6390243902439,61.00243902439023,62.090243902439006,70.16585365853658,63.68536585365853,71.8731707317073,Bihar
arwal,BR,10,38,240,58.19375,59.00000000000001,62.06874999999999,68.18125,67.03124999999999,72.36250000000001,73.05,64.7625,67.4625,73.10625,86.54374999999999,77.99375,75.25625,88.9375,80.80625,83.8375,79.86874999999999,73.87499999999999,90.28125,76.99999999999999,80.0625,86.6,85.10000000000001,Bihar
aurangabad,BR,10,33,235,49.14444444444443,50.633333333333326,52.671111111111095,56.92222222222219,56.06444444444445,60.48888888888888,60.00888888888887,53.36000000000001,56.311111111111124,61.63999999999997,72.83333333333334,63.69777777777777,62.52444444444446,74.40444444444444,67.35333333333331,68.36444444444443,65.80444444444444,60.70666666666666,73.15777777777778,63.675555555555555,65.05111111111111,72.60444444444445,72.4888888888889,Bihar
banka,BR,10,23,225,41.11136363636364,42.10227272727273,45.68181818181817,52.281818181818174,50.10909090909092,48.627272727272725,52.4840909090909,48.08409090909092,58.565909090909095,54.53409090909091,60.95454545454547,63.109090909090924,54.30454545454545,68.52727272727273,60.73409090909092,68.84318181818182,61.6409090909091,64.08863636363637,63.13863636363635,60.88636363636365,65.9909090909091,65.16363636363639,66.36818181818182,Bihar
begusarai,BR,10,20,222,58.89375,59.43750000000001,66.215625,73.690625,70.778125,72.925,78.35937500000001,72.47187500000001,83.31250000000001,81.55,87.28125000000001,90.95625000000001,83.309375,98.184375,91.6625,97.35937500000003,92.12500000000004,89.30000000000001,93.39062499999997,90.70625,98.22500000000002,91.13749999999999,91.159375,Bihar
bhagalpur,BR,10,22,224,49.8,49.60243902439025,52.43170731707319,59.914634146341456,56.48780487804878,57.43658536585365,59.26829268292683,57.76829268292685,71.05365853658536,65.27073170731708,70.71219512195123,76.51219512195124,65.74146341463415,79.23170731707317,79.21463414634147,79.95121951219511,74.9560975609756,75.58292682926829,72.75853658536585,73.4829268292683,80.16829268292682,74.05609756097559,79.77560975609754,Bihar
bhojpur,BR,10,29,231,62.24857142857141,63.69714285714286,68.32285714285715,78.36857142857143,73.80571428571427,79.30571428571429,80.53714285714285,73.40857142857143,77.40000000000002,81.57142857142857,96.7657142857143,86.24571428571429,84.38571428571431,98.69428571428571,88.94857142857144,93.90857142857142,86.67142857142858,82.67714285714287,101.31428571428567,83.9342857142857,88.81142857142856,93.52571428571427,91.1514285714286,Bihar
buxar,BR,10,30,232,65.45483870967743,64.51612903225806,70.72258064516129,80.01612903225806,76.08387096774192,82.82903225806453,84.18709677419356,75.76451612903226,76.68064516129031,82.49032258064516,100.46451612903226,87.69999999999996,84.31935483870969,97.03870967741936,88.57741935483871,92.01290322580644,84.43225806451613,80.9258064516129,102.158064516129,85.18387096774192,87.11935483870967,95.8258064516129,93.31612903225805,Bihar
darbhanga,BR,10,13,215,61.125000000000014,59.705,67.075,75.40499999999999,70.13999999999999,72.99749999999999,73.69250000000001,76.08750000000002,90.3625,87.15,88.89249999999997,98.35749999999999,85.9025,94.62750000000001,93.81,92.86999999999998,89.75500000000001,89.72249999999998,90.7225,86.75500000000001,92.69,86.32000000000002,93.1975,Bihar
gaya,BR,10,34,236,45.20563380281689,46.44366197183097,48.630985915492964,53.08028169014084,52.77464788732395,56.44929577464787,56.746478873239454,49.72535211267605,53.481690140845075,58.26619718309858,67.92253521126761,60.494366197183105,59.5943661971831,72.1154929577465,65.13380281690144,67.04084507042253,64.41267605633803,60.02957746478874,70.89295774647887,61.242253521126756,63.38309859154932,70.11690140845073,69.85352112676057,Bihar
gopalganj,BR,10,15,217,68.46666666666667,69.85,82.89166666666668,94.58888888888887,85.38055555555553,90.64166666666665,91.94166666666665,91.20833333333336,101.28055555555555,102.04166666666667,108.78888888888888,108.11388888888892,101.89722222222221,111.74444444444445,105.95833333333334,106.08888888888887,100.13611111111112,99.93055555555553,111.65277777777777,100.24444444444444,103.3722222222222,100.91944444444442,107.64722222222224,Bihar
jamui,BR,10,36,238,40.3063829787234,39.94893617021277,45.31063829787234,51.45319148936169,50.617021276595736,50.24893617021277,54.355319148936175,48.33191489361702,55.806382978723406,55.93404255319149,62.12127659574467,60.92978723404256,55.329787234042556,70.10851063829787,59.98510638297871,67.45531914893617,61.50851063829787,63.121276595744675,65.9276595744681,60.86170212765956,65.76595744680851,66.83191489361703,66.65319148936169,Bihar
jehanabad,BR,10,37,239,55.714999999999996,56.74499999999999,60.02,66.88499999999999,65.64999999999999,69.955,71.09,62.88000000000001,67.595,71.03,83.655,77.955,75.945,89.67,80.85,86.08000000000001,81.54,75.85499999999999,89.83500000000001,76.46000000000001,81.705,85.67999999999999,84.53,Bihar
kaimur_bhabua,BR,10,31,233,46.539130434782614,45.86521739130435,49.50652173913043,55.345652173913045,54.92173913043477,60.75652173913045,61.04565217391305,53.92173913043479,53.14565217391305,58.16739130434781,71.93043478260869,60.29347826086958,59.40217391304347,70.26304347826085,61.93695652173913,65.17608695652174,59.72608695652173,59.056521739130446,70.44347826086955,61.967391304347814,63.3804347826087,71.7869565217391,67.26304347826087,Bihar
katihar,BR,10,10,212,51.41914893617022,48.91489361702128,50.56170212765959,57.02127659574468,52.92765957446808,56.39148936170214,54.163829787234036,58.39148936170212,69.99361702127656,64.52978723404253,68.55319148936171,76.14255319148937,62.63617021276597,73.35106382978721,83.30851063829788,73.7936170212766,72.69361702127658,73.13404255319148,66.98297872340426,70.45319148936171,77.32340425531915,69.69787234042553,81.1148936170213,Bihar
khagaria,BR,10,21,223,57.72962962962964,57.8111111111111,63.10740740740741,70.87037037037037,67.47037037037038,68.9962962962963,71.66296296296298,69.77777777777779,82.08888888888887,78.56296296296296,82.0111111111111,88.75555555555556,79.11111111111113,92.91851851851854,92.78518518518516,92.59259259259258,87.31851851851852,86.10740740740741,86.00370370370372,85.89259259259259,93.63333333333334,85.54444444444445,89.04074074074072,Bihar
kishanganj,BR,10,8,210,42.74848484848485,39.30303030303031,42.375757575757575,45.90909090909091,42.454545454545446,47.61212121212122,44.49393939393939,49.12727272727272,57.39393939393939,53.960606060606054,54.56666666666668,63.003030303030314,51.74545454545455,56.90303030303031,61.46969696969697,57.24545454545454,56.278787878787874,56.227272727272734,52.16060606060606,53.45151515151515,60.14545454545455,54.96060606060605,61.93939393939396,Bihar
lakhisarai,BR,10,25,227,49.60909090909092,49.80454545454545,56.104545454545445,62.477272727272705,61.03636363636363,62.25454545454546,67.45909090909089,59.97727272727273,68.19090909090909,68.36363636363635,74.76363636363637,75.2681818181818,70.12727272727273,83.55,74.84545454545453,82.48636363636362,78.37272727272727,76.93636363636364,80.25454545454544,75.62272727272727,82.81363636363639,80.0318181818182,79.34090909090911,Bihar
madhepura,BR,10,11,213,54.463333333333324,52.17333333333334,56.733333333333334,63.64333333333334,59.42666666666667,62.15666666666667,62.140000000000015,65.49999999999999,78.39000000000001,74.52666666666669,75.91333333333334,84.34666666666665,73.11333333333333,82.29333333333334,88.56,82.47666666666665,79.21666666666667,81.06,75.42333333333333,75.84666666666665,84.37666666666665,76.28,83.84666666666666,Bihar
